SeqId,SomaId,Target Name,Target Full Name,UniProt ID,Type,Organism,Dilution,Apparent Kd (M),LoDB (RFU),Signal To Noise Plasma,Intra-Plate CV Plasma,Inter-Plate CV Plasma,Total CV Plasma,Correlation Plasma,F-Statistic Plasma,Lower 95% Normal Plasma (RFU),Median Normal Plasma (RFU),Upper 95% Normal Plasma (RFU),Signal To Noise Serum,Intra-Plate CV Serum,Inter-Plate CV Serum,Total CV Serum,Correlation Serum,F-Statistic Serum,Lower 95% Normal Serum (RFU),Median Normal Serum (RFU),Upper 95% Normal Serum (RFU),Characterization Info,Orthogonal Strategies,MRM-MS Data,DDA-MS Data,Genetic Strategies,Entrez Gene Name,Entrez Gene ID,Ensembl Gene ID,HGNC ID,SELEX Target Name,SELEX UniProt ID,Serum Scalar v4.0 to v4.1,Serum Lin's CCC,Plasma Scalar v4.0 to v4.1,Plasma Lin's CCC
2288-7,HCE004331,HCE004331,HCE004331,,Hybridization Control Elution,,0%,,,,0.021,0.02,0.029,,,,,,,0.025,0.022,0.033,,,,,,,,,,,,,,,,,0.743,-0.014,0.541,-0.012
2305-52,HCE003300,HCE003300,HCE003300,,Hybridization Control Elution,,0%,,,,0.013,0.009,0.016,,,,,,,0.013,0.014,0.019,,,,,,,,,,,,,,,,,0.774,-0.017,0.71,-0.035
2312-13,HCE000483,HCE000483,HCE000483,,Hybridization Control Elution,,0%,,,,0.02,0.015,0.025,,,,,,,0.022,0.01,0.024,,,,,,,,,,,,,,,,,0.662,0.024,0.401,0.002
2333-72,SL000584,TGF-b1,Transforming growth factor beta-1,P01137,Protein,Human,20%,4.06E-11,152,5.953,0.064,0.054,0.084,0.778,883.879,937,1447,3002,13.174,0.023,0.032,0.04,0.785,43.066,1251,1543,2179,"Binding was observed with Transforming growth factor beta-2 and Transforming growth factor beta-3 with at least 10x weaker affinity.  No binding was observed with Inhibin beta A chain, Bone morphogenetic protein 2, Bone morphogenetic protein 3, Growth/differentiation factor 10, Bone morphogenetic protein 4, Bone morphogenetic protein 15, Bone morphogenetic protein 6, Growth/differentiation factor 5, Growth/differentiation factor 2, Growth/differentiation factor 3 , Growth/differentiation factor 15, Growth/differentiation factor 11, Growth/differentiation factor 8, Bone morphogenetic protein 1, Bone morphogenetic protein 5, Bone morphogenetic protein 7, Bone morphogenetic protein 8B, Bone morphogenetic protein 8A, Bone morphogenetic protein 10 or Growth/differentiation factor 9.",,,,30072576,TGFB1,7040,,HGNC:11766,,,1.274,0.733,0.886,0.717
2359-65,HCE004152,HCE004152,HCE004152,,Hybridization Control Elution,,0%,,,,0.016,0.016,0.022,,,,,,,0.025,0.016,0.03,,,,,,,,,,,,,,,,,0.769,0.056,0.662,-0.019
2381-52,SL000319,C5,Complement C5,P01031,Protein,Human,0.005%,7.61E-11,85,333.115,0.032,0.034,0.047,0.692,4.796,21188,28456,34023,297.367,0.034,0.028,0.044,0.881,7.304,22203,29497,37926,Binding was observed with C5a anaphylatoxin and C5adesArg with at least 10x weaker affinity.,,,30072576,30072576,C5,727,ENSG00000106804,HGNC:1331,,,1.469,0.862,1.202,0.838
2418-55,SL000276,Apo E,Apolipoprotein E,P02649,Protein,Human,0.005%,2.31E-10,101,56.802,0.134,0.156,0.205,0.816,9.32,3358,7091,19551,36.758,0.13,0.112,0.171,0.856,6.535,2862,5336,13657,Binding was observed with Apolipoprotein E (isoform E3) and Apolipoprotein E (isoform E4) with similar affinity.  Binding was observed with Apolipoprotein E (isoform E2) with at least 10x weaker affinity.,,30072576,30072576,30072576,APOE,348,ENSG00000130203,HGNC:613,,,1.433,0.666,1.434,0.65
2421-7,SL003951,BDNF,Brain-derived neurotrophic factor,P23560,Protein,Human,20%,7.05E-12,106,7.816,0.036,0.028,0.046,0.956,71.838,434,1077,2527,25.984,0.029,0.023,0.037,0.848,44.156,1432,2029,2806,Binding was observed with Glial cell line-derived neurotrophic factor with at least 10x weaker affinity.  No binding was observed with Cerebral dopamine neurotrophic factor.,,,,30072576,BDNF,627,ENSG00000176697,HGNC:1033,,,1.422,0.723,1.023,0.864
2429-27,SL000324,C8,Complement component C8,P07360|P07358|P07357,Protein,Human,20%,2.11E-10,176,36.51,0.153,0.125,0.198,0.802,7.126,2494,8255,15783,48.937,0.071,0.066,0.097,0.64,4.648,4234,7860,12057,No binding was observed with Complement component C8 gamma chain or Complement component C8 beta chain.,,,,,C8G|C8B|C8A,733|732|731,ENSG00000176919|ENSG00000021852|ENSG00000157131,HGNC:1354|HGNC:1353|HGNC:1352,,,0.961,0.618,0.838,0.617
2430-52,HCE000342,HCE000342,HCE000342,,Hybridization Control Elution,,0%,,,,0.056,0.037,0.067,,,,,,,0.054,0.034,0.063,,,,,,,,,,,,,,,,,0.833,0.009,0.617,0.038
2431-17,SL000345,Cathepsin G,Cathepsin G,P08311,Protein,Human,20%,9.96E-11,235,3.563,0.037,0.03,0.048,0.707,5.486,682,902,2936,8.66,0.025,0.022,0.033,0.957,98.131,1260,1843,3737,Under Investigation,,30072576,30072576,,CTSG,1511,ENSG00000100448,HGNC:2532,,,1.204,0.82,1.034,0.715
2436-49,SL004016,"CXCL16, soluble",C-X-C motif chemokine 16,Q9H2A7,Protein,Human,0.5%,4.85E-12,144,46.259,0.028,0.022,0.035,0.951,23.279,4596,6804,9628,23.798,0.034,0.023,0.041,0.931,6.931,3504,4815,6603,"No binding was observed with C-X-C motif chemokine 11, Growth-regulated alpha protein or C-X-C motif chemokine 5.",29875488,,,30072576|29875488,CXCL16,58191,ENSG00000161921,HGNC:16642,,,0.974,0.932,0.765,0.837
2441-2,SL004333,FGF-10,Fibroblast growth factor 10,O15520,Protein,Human,20%,6.58E-12,67,3.611,0.032,0.028,0.043,0.84,658.377,232,296,833,6.739,0.029,0.031,0.043,0.861,68.029,276,324,636,"No binding was observed with Fibroblast growth factor 16, Fibroblast growth factor 9, Fibroblast growth factor 22, Fibroblast growth factor 3 or Fibroblast growth factor 7.",,,,,FGF10,2255,ENSG00000070193,HGNC:3666,,,1.452,0.841,0.946,0.768
2443-10,SL004342,FGF-8B,Fibroblast growth factor 8 isoform B,P55075,Protein,Human,20%,8.61E-11,180,6.514,0.106,0.101,0.146,0.716,5.167,958,1633,3653,16.68,0.026,0.019,0.032,0.861,29.492,1660,2270,3396,Binding was observed with Fibroblast growth factor 8 isoform A with similar affinity.  No binding was observed with Fibroblast growth factor 18 or Fibroblast growth factor 17.,,,,,FGF8,2253,ENSG00000107831,HGNC:3686,,,1.211,0.811,0.84,0.718
2447-7,SL004066,GIIE,Group IIE secretory phospholipase A2,Q9NZK7,Protein,Human,20%,3.61E-12,56,3.158,0.028,0.021,0.035,0.808,13.565,184,229,516,8.017,0.017,0.013,0.021,0.902,44.095,260,317,532,"Binding was observed with Calcium-dependent phospholipase A2 with similar affinity.  No binding was observed with Phospholipase A2, Phospholipase A2, membrane associated or Group IID secretory phospholipase A2.",,,,,PLA2G2E,30814,ENSG00000188784,HGNC:13414,,,1.435,0.863,1.128,0.91
2449-1,SL004182,GV,Calcium-dependent phospholipase A2,P39877,Protein,Human,20%,9.06E-13,126,2.908,0.023,0.029,0.037,0.726,14.359,394,475,975,6.436,0.023,0.022,0.032,0.908,37.198,484,588,936,Under Investigation,,,,,PLA2G5,5322,ENSG00000127472,HGNC:9038,,,1.402,0.547,1.022,0.532
2468-62,SL000133,MIP-3a,C-C motif chemokine 20,P78556,Protein,Human,20%,3.97E-12,32,3.278,0.028,0.033,0.043,0.778,454.931,99,124,338,5.311,0.041,0.086,0.095,0.797,0.011,113,141,238,"No binding was observed with C-C motif chemokine 3, C-C motif chemokine 15 or C-C motif chemokine 19.",,,,,CCL20,6364,ENSG00000115009,HGNC:10619,,,1.449,0.856,1.116,0.804
2474-54,SL000573,SAP,Serum amyloid P-component,P02743,Protein,Human,0.005%,7.87E-12,1032,204.308,0.066,0.047,0.081,0.84,5.654,34539,56174,74578,31.684,0.047,0.035,0.059,0.808,3.108,34556,54865,82784,No binding was observed with C-reactive protein or Ceruloplasmin.,,,30072576,29875488|32386347|30072576,APCS,325,ENSG00000132703,HGNC:584,,,1.375,0.845,1.117,0.862
2475-1,SL004010,SCF sR,Mast/stem cell growth factor receptor Kit,P10721,Protein,Human,0.5%,1.68E-12,123,190.777,0.093,0.071,0.116,0.807,7.048,10129,21181,36851,140.589,0.046,0.036,0.059,0.883,12.835,9712,16630,28911,"No binding was observed with Vascular endothelial growth factor receptor 1, Vascular endothelial growth factor receptor 2, Vascular endothelial growth factor receptor 3, Macrophage colony-stimulating factor 1 receptor, Platelet-derived growth factor receptor beta or Receptor-type tyrosine-protein kinase FLT3.",,,30072576,29875488|32386347|30072576,KIT,3815,ENSG00000157404,HGNC:6342,,,0.897,0.777,0.83,0.816
2480-58,SL003043,TIMP-3,Metalloproteinase inhibitor 3,P35625,Protein,Human,20%,1.15E-11,89,274.575,0.042,0.044,0.061,0.963,54.647,8206,20766,55452,521.674,0.058,0.044,0.073,0.923,30.012,21767,46753,97994,"No binding was observed with Metalloproteinase inhibitor 2, Metalloproteinase inhibitor 4 or Metalloproteinase inhibitor 1.",,30072576,30072576,,TIMP3,7078,ENSG00000100234,HGNC:11822,,,1.356,0.929,0.904,0.859
2500-2,SL004643,Angiopoietin-4,Angiopoietin-4,Q9Y264,Protein,Human,20%,5.41E-12,64,3.409,0.018,0.024,0.03,0.877,33.693,241,422,798,5.718,0.017,0.019,0.025,0.902,4209.075,213,264,477,No binding was observed with Angiopoietin-1 or Angiopoietin-2.,,,,30072576|32386347|29875488,ANGPT4,51378,ENSG00000101280,HGNC:487,,,1.588,0.712,1,0.754
2505-49,SL004144,GFRa-3,GDNF family receptor alpha-3,O60609,Protein,Human,20%,4.24E-11,132,6.4,0.045,0.048,0.065,0.704,4.414,872,1158,2692,15.054,0.019,0.022,0.03,0.831,56.282,1211,1465,2395,No binding was observed with GDNF family receptor alpha-1 or GDNF family receptor alpha-2.,,,,28031287|30072576|32386347,GFRA3,2676,ENSG00000146013,HGNC:4245,,,1.105,0.794,0.769,0.721
2513-7,HCE000104,HCE000104,HCE000104,,Hybridization Control Elution,,0%,,,,0.01,0.012,0.016,,,,,,,0.01,0.01,0.014,,,,,,,,,,,,,,,,,0.763,0.006,0.575,-0.037
2514-65,SL025848,Ephrin-B3:ECD,Ephrin-B3:Extracellular domain,Q15768,Protein,Human,20%,9.04E-11,128,4.273,0.032,0.039,0.05,0.676,4.335,584,786,2597,11.278,0.026,0.022,0.034,0.925,57.108,781,1014,2035,"No binding was observed with Ephrin-A2, Ephrin-A3 or Ephrin-A1.",,,,30072576|32386347,EFNB3,1949,ENSG00000108947,HGNC:3228,,,1.25,0.69,0.857,0.627
2515-14,SL004143,GFRa-2,GDNF family receptor alpha-2,O00451,Protein,Human,0.5%,4.34E-12,141,27.299,0.015,0.014,0.02,0.961,53.65,2652,3941,5595,20.669,0.013,0.015,0.02,0.91,2.866,2504,3310,4612,No binding was observed with GDNF family receptor alpha-3 or GDNF family receptor alpha-1.,,,30072576,32386347|30072576,GFRA2,2675,ENSG00000168546,HGNC:4244,,,0.924,0.937,0.777,0.776
2516-57,SL003193,6Ckine,C-C motif chemokine 21,O00585,Protein,Human,0.5%,7.44E-12,76,58.805,0.019,0.017,0.026,0.935,64.609,2455,4355,7278,68.316,0.017,0.017,0.024,0.947,62.691,2484,4086,6423,"No binding was observed with C-C motif chemokine 16, C-C motif chemokine 19, C-C motif chemokine 4 or C-C motif chemokine 7.",,,,32386347|30072576,CCL21,6366,ENSG00000137077,HGNC:10620,,,1.23,0.987,0.995,0.961
2524-56,SL003280,HMG-1,High mobility group protein B1,P09429,Protein,Human,20%,3.71E-11,279,16.404,0.129,0.117,0.174,0.794,7.293,3320,6799,11437,26.674,0.043,0.035,0.055,0.751,10.43,4466,6577,10009,No binding was observed with High mobility group protein B2.,,,30072576,32386347|30072576,HMGB1,3146,ENSG00000189403,HGNC:4983,,,1.041,0.792,0.835,0.494
2558-51,SL000300,b-Endorphin,Beta-endorphin,P01189,Protein,Human,20%,6.24E-11,91,3.395,0.023,0.02,0.03,0.845,23.102,282,361,763,7.819,0.017,0.014,0.022,0.854,22.694,417,506,705,Binding was observed with Pro-opiomelanocortin with similar affinity.,,,30072576,29875488|32386347|30072576,POMC,5443,ENSG00000115138,HGNC:9201,,,1.392,0.881,1.066,0.866
2567-5,SL003328,Factor I,Complement factor I,P05156,Protein,Human,0.005%,8.09E-13,77,691.791,0.062,0.047,0.078,0.584,1.495,45075,53777,65237,599.604,0.056,0.043,0.07,0.616,1.748,43236,54029,68421,No closely related human proteins were available for specificity testing.,,,30072576,32386347|30072576,CFI,3426,ENSG00000205403,HGNC:5394,,,1.437,0.607,1.163,0.611
2571-12,SL000045,IGFBP-3,Insulin-like growth factor-binding protein 3,P17936,Protein,Human,0.5%,1.53E-11,131,162.571,0.039,0.025,0.047,0.899,11.081,8840,16588,24497,123.702,0.044,0.029,0.053,0.882,10.648,9606,16197,22527,"Binding was observed with Insulin-like growth factor-binding protein 5 with at least 10x weaker affinity.  No binding was observed with Insulin-like growth factor-binding protein 1, Insulin-like growth factor-binding protein 2, Insulin-like growth factor-binding protein 4, Insulin-like growth factor-binding protein 6 or Insulin-like growth factor-binding protein 7.",,,30072576,32386347|30072576,IGFBP3,3486,ENSG00000146674,HGNC:5472,,,1.71,0.893,1.285,0.857
2578-67,SL000038,MCP-1,C-C motif chemokine 2,P13500,Protein,Human,20%,6.88E-12,60,4.162,0.036,0.028,0.046,0.768,7.283,229,299,740,6.716,0.041,0.02,0.045,0.818,14.448,249,357,735,"No binding was observed with C-C motif chemokine 8, C-C motif chemokine 7 or C-C motif chemokine 13.",30431231|28703865|32366845,,,,CCL2,6347,ENSG00000108691,HGNC:10618,,,1.259,0.921,0.893,0.886
2579-17,SL000527,MMP-9,Matrix metalloproteinase-9,P14780,Protein,Human,0.5%,2.89E-11,1336,17.508,0.021,0.021,0.03,0.953,161.582,6250,13812,32877,34.287,0.052,0.041,0.066,0.853,61.589,28644,61381,107369,"No binding was observed with Interstitial collagenase, Matrilysin, Stromelysin-2, Macrophage metalloelastase, Matrix metalloproteinase-20 or Stromelysin-1.",31737572|28821969|29875488,30072576,,30072576|29875488,MMP9,4318,ENSG00000100985,HGNC:7176,,,1.268,0.939,0.957,0.921
2580-83,SL001796,Myeloperoxidase,Myeloperoxidase,P05164,Protein,Human,0.5%,1.7E-12,531,13.265,0.027,0.02,0.033,0.971,44.61,7037,12348,23577,96.529,0.034,0.017,0.038,0.98,388.859,13853,28400,54027,No binding was observed with Thyroid peroxidase or Lactoperoxidase.,29875488,30072576,,30072576|29875488,MPO,4353,ENSG00000005381,HGNC:7218,,,0.881,0.979,0.807,0.947
2585-2,SL000546,PRL,Prolactin,P01236,Protein,Human,20%,2.35E-11,201,56.099,0.047,0.033,0.058,0.885,185.942,3713,9091,26902,46.106,0.033,0.026,0.042,0.915,32.383,3704,6562,16414,No closely related human proteins were available for specificity testing.,,,,,PRL,5617,ENSG00000172179,HGNC:9445,,,0.947,0.958,0.591,0.904
2590-69,SL006114,ROR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1,Q01973,Protein,Human,20%,4.97E-12,132,132.029,0.038,0.019,0.042,0.889,28.122,9209,17586,32083,115.007,0.034,0.022,0.04,0.904,17.369,9449,15582,25928,No binding was observed with Tyrosine-protein kinase transmembrane receptor ROR2.,,,,30072576|29875488,ROR1,4919,ENSG00000185483,HGNC:10256,,,1.545,0.938,0.997,0.821
2597-8,SL000002,VEGF,Vascular endothelial growth factor A,P15692,Protein,Human,20%,1.29E-11,180,38.927,0.023,0.019,0.03,0.797,13.126,5451,8004,11717,61.963,0.022,0.014,0.027,0.958,37.136,6398,8746,13140,"Binding was observed with Vascular endothelial growth factor A Isoform 162 with at least 10x weaker affinity.  No binding was observed with Vascular endothelial growth factor D, Vascular endothelial growth factor C, Vascular endothelial growth factor B or Vascular endothelial growth factor A, isoform 121.",29875488|30431231,,,29875488|30072576,VEGFA,7422,ENSG00000112715,HGNC:12680,,,1.156,0.938,0.8,0.76
2599-51,SL003735,4-1BB ligand,Tumor necrosis factor ligand superfamily member 9,P41273,Protein,Human,20%,2.71E-11,57,4.243,0.023,0.021,0.031,0.933,327.774,198,259,569,6.445,0.019,0.028,0.034,0.861,10.232,240,280,641,No closely related human proteins were available for specificity testing.,,,,,TNFSF9,8744,ENSG00000125657,HGNC:11939,,,1.048,0.896,0.749,0.852
2602-2,SL001996,Angiopoietin-2,Angiopoietin-2,O15123,Protein,Human,20%,1.89E-11,42,225.637,0.029,0.024,0.038,0.917,34.883,5472,11487,22717,229.2,0.028,0.017,0.033,0.951,67.132,7383,12031,23611,Binding was observed with Angiopoietin-1 and Angiopoietin-4 with at least 10x weaker affinity.,,30072576,,30072576,ANGPT2,285,ENSG00000091879,HGNC:485,,,0.906,0.962,0.567,0.89
2605-49,SL004180,CD30,Tumor necrosis factor receptor superfamily member 8,P28908,Protein,Human,20%,1.76E-10,122,9.03,0.114,0.118,0.164,0.711,4.507,765,1461,3922,18.315,0.033,0.029,0.044,0.872,37.391,1260,1654,2889,No closely related human proteins were available for specificity testing.,,,,,TNFRSF8,943,ENSG00000120949,HGNC:11923,,,1.06,0.596,0.806,0.557
2607-54,SL004692,CLF-1/CLC Complex,Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex,Q9UBD9|O75462,Protein,Human,20%,3.08E-11,43,6.256,0.028,0.032,0.042,0.888,48.639,244,321,577,11.004,0.018,0.041,0.044,0.822,18.521,299,365,639,No binding was observed with Cardiotrophin-like cytokine.,,,,,CLCF1|CRLF1,23529|9244,ENSG00000175505|ENSG00000006016,HGNC:17412|HGNC:2364,,,1.892,0.908,1.383,0.91
2609-59,SL001777,Cystatin C,Cystatin-C,P01034,Protein,Human,0.005%,2.23E-11,73,29.222,0.032,0.022,0.039,0.782,7.225,1591,2217,3652,25.93,0.03,0.028,0.041,0.888,9.095,1533,2188,3603,"No binding was observed with Cystatin-S, Cystatin-D or Cystatin-SA.",29093484|30984137|31639705|29281176,30072576,30072576,30072576,CST3,1471,ENSG00000101439,HGNC:2475,,,1.562,0.837,1.276,0.853
2611-72,SL004136,Dtk,Tyrosine-protein kinase receptor TYRO3,Q06418,Protein,Human,20%,2.28E-10,55,12.727,0.057,0.056,0.079,0.717,5.629,553,864,1512,22.325,0.033,0.028,0.043,0.85,50.066,766,973,1389,No binding was observed with Proto-oncogene tyrosine-protein kinase MER or Tyrosine-protein kinase receptor UFO.,,,,30072576,TYRO3,7301,ENSG00000092445,HGNC:12446,,,1.273,0.872,0.955,0.84
2612-5,SL004759,eIF-5,Eukaryotic translation initiation factor 5,P55010,Protein,Human,20%,3.23E-11,79,14.914,0.034,0.034,0.048,0.796,15.302,985,1712,2908,16.091,0.029,0.041,0.05,0.836,0.746,856,1043,1620,No closely related human proteins were available for specificity testing.,,,,,EIF5,1983,ENSG00000100664,HGNC:3299,,,1.178,0.929,0.994,0.889
2614-28,SL004140,Ephrin-A4,Ephrin-A4,P52798,Protein,Human,20%,3.68E-11,67,14.816,0.032,0.029,0.043,0.78,6.788,808,1194,2090,22.336,0.028,0.014,0.031,0.592,3.738,1041,1287,2024,"No binding was observed with Ephrin-A3, Ephrin-A2 or Ephrin-A1.",,,,,EFNA4,1945,ENSG00000243364,HGNC:3224,,,1.27,0.875,0.809,0.825
2615-60,SL004141,Ephrin-A5,Ephrin-A5,P52803,Protein,Human,20%,7.82E-12,66,57.817,0.035,0.038,0.052,0.839,18.984,2201,4206,6523,71.968,0.032,0.033,0.046,0.847,14.587,3208,4435,7291,Binding was observed with Ephrin-A2 with similar affinity.  No binding was observed with Ephrin-A3 or Ephrin-A1.,,,30072576,,EFNA5,1946,ENSG00000184349,HGNC:3225,,,0.853,0.923,0.57,0.788
2616-23,SL000009,ERBB2,Receptor tyrosine-protein kinase erbB-2,P04626,Protein,Human,20%,2.93E-10,55,6.179,0.031,0.049,0.058,0.963,79.682,293,359,806,10.86,0.029,0.025,0.038,0.783,135.296,374,452,905,"No binding was observed with Receptor tyrosine-protein kinase erbB-3, Receptor tyrosine-protein kinase erbB-4, Epidermal growth factor receptor or Epidermal growth factor receptor variant III.",,30072576,,,ERBB2,2064,ENSG00000141736,HGNC:3430,,,1.27,0.925,0.907,0.907
2617-56,SL002519,ERBB3,Receptor tyrosine-protein kinase erbB-3,P21860,Protein,Human,20%,2.35E-12,50,104.514,0.026,0.026,0.037,0.664,7.554,3187,5412,9535,111.074,0.024,0.017,0.03,0.885,18.464,3441,4931,7306,"No binding was observed with Epidermal growth factor receptor, Receptor tyrosine-protein kinase erbB-2 or Receptor tyrosine-protein kinase erbB-4.",,,,,ERBB3,2065,ENSG00000065361,HGNC:3431,,,1.297,0.878,0.925,0.775
2618-10,SL003803,ERBB4,Receptor tyrosine-protein kinase erbB-4,Q15303,Protein,Human,20%,3.05E-10,42,2.66,0.027,0.028,0.039,0.769,9.783,108,130,219,4.613,0.028,0.024,0.037,0.851,61.407,131,152,257,"No binding was observed with Epidermal growth factor receptor, Receptor tyrosine-protein kinase erbB-2, Receptor tyrosine-protein kinase erbB-3 or Epidermal growth factor receptor variant III.",,,,,ERBB4,2066,ENSG00000178568,HGNC:3432,,,1.503,0.905,1.153,0.845
2619-72,SL001890,GA733-1 protein,Tumor-associated calcium signal transducer 2,P09758,Protein,Human,20%,3.94E-11,39,5.686,0.021,0.036,0.042,0.79,38.788,230,277,489,9.686,0.033,0.019,0.038,0.862,67.993,236,279,489,No binding was observed with Tumor-associated calcium signal transducer 1.,,,30072576,,TACSTD2,4070,ENSG00000184292,HGNC:11530,,,1.823,0.948,1.28,0.919
2620-4,SL003872,"gp130, soluble",Interleukin-6 receptor subunit beta,P40189,Protein,Human,0.5%,6.38E-12,66,104.605,0.021,0.023,0.031,0.892,13.603,5573,7511,10097,122.54,0.025,0.018,0.031,0.903,8.873,6668,8149,10744,No closely related human proteins were available for specificity testing.,,,30072576,29875488|30072576,IL6ST,3572,ENSG00000134352,HGNC:6021,,,1.218,0.885,1.014,0.796
2622-18,SL004751,HO-2,Heme oxygenase 2,P30519,Protein,Human,20%,7.84E-11,89,2.924,0.02,0.027,0.033,0.886,13.36,274,453,861,5.776,0.032,0.043,0.053,0.898,30.675,296,363,702,No binding was observed with Heme oxygenase 1.,,,,,HMOX2,3163,ENSG00000103415|ENSG00000277424,HGNC:5014,,,1.361,0.728,0.865,0.72
2625-53,SL000453,HSP 90a,Hsp90alpha,P07900,Protein,Human,0.5%,4.99E-12,161,36.68,0.024,0.018,0.031,0.977,78.534,1638,6043,14182,6.462,0.028,0.023,0.036,0.912,27.044,1306,1655,2438,Binding was observed with Hsp90alpha and Heat shock protein HSP 90-beta with similar affinity.,,,,,HSP90AA1,3320,ENSG00000080824,HGNC:5253,,,1.368,0.954,1.179,0.908
2631-50,SL004147,IL-10 Rb,Interleukin-10 receptor subunit beta,Q08334,Protein,Human,20%,4.5E-11,86,12.738,0.076,0.086,0.115,0.775,7.692,959,1445,2184,30.508,0.023,0.024,0.033,0.776,36.199,1568,1852,2306,No closely related human proteins were available for specificity testing.,,,,30072576,IL10RB,3588,ENSG00000243646,HGNC:5965,,,0.931,0.756,0.685,0.708
2632-5,SL004148,IL-12 Rb1,Interleukin-12 receptor subunit beta-1,P42701,Protein,Human,20%,1.32E-11,100,4.41,0.041,0.041,0.058,0.855,24.099,425,591,1266,11.696,0.017,0.022,0.028,0.899,31.618,688,851,1217,No binding was observed with Interleukin-12 receptor subunit beta-2.,,,,,IL12RB1,3594,ENSG00000096996,HGNC:5971,,,1.247,0.635,0.966,0.635
2633-52,SL004149,IL-13 Ra1,Interleukin-13 receptor subunit alpha-1,P78552,Protein,Human,20%,1.01E-10,30,42.45,0.074,0.063,0.097,0.767,2.711,894,1408,2545,52.417,0.06,0.028,0.066,0.825,53.455,1075,1584,2591,No binding was observed with IL-13 Ra2 or Interleukin-5 receptor subunit alpha.,,,,,IL13RA1,3597,ENSG00000131724,HGNC:5974,,,0.987,0.884,0.737,0.791
2634-2,SL003307,IL-2 sRg,Cytokine receptor common subunit gamma,P31785,Protein,Human,20%,3.08E-11,127,21.083,0.02,0.018,0.027,0.921,54.015,1739,4980,9507,17.335,0.017,0.015,0.023,0.791,35.21,1374,1653,2798,No binding was observed with IL-13 Ra2.,,,,,IL2RG,3561,ENSG00000147168,HGNC:6010,,,1.13,0.884,0.72,0.913
2635-61,SL004646,Layilin,Layilin,Q6UX15,Protein,Human,20%,1.42E-11,178,9.46,0.045,0.098,0.108,0.702,4.462,1279,2293,3916,17.221,0.036,0.032,0.048,0.685,14.563,1855,2394,3247,No binding was observed with Chondrolectin.,,,,,LAYN,143903,ENSG00000204381,HGNC:29471,,,0.987,0.766,0.787,0.7
2636-10,SL000509,Lymphotoxin b R,Tumor necrosis factor receptor superfamily member 3,P36941,Protein,Human,20%,2.97E-11,182,55.552,0.18,0.14,0.228,0.779,6.452,3592,13711,27057,61.248,0.086,0.073,0.113,0.566,3.174,5411,10586,17346,No binding was observed with Tumor necrosis factor receptor superfamily member 1B or Tumor necrosis factor receptor superfamily member 5.,29875488,,,,LTBR,4055,ENSG00000111321,HGNC:6718,,,0.986,0.574,0.935,0.588
2637-77,SL004579,Macrophage mannose receptor,Macrophage mannose receptor 1,P22897,Protein,Human,0.5%,1.19E-11,29,133.856,0.084,0.05,0.098,0.788,2.864,3215,5350,8209,150.526,0.059,0.034,0.068,0.893,9.761,3679,5653,8538,No binding was observed with Lymphocyte antigen 75.,29875488|22509397,,30072576,29875488|30072576,MRC1,4360,ENSG00000260314,HGNC:7228,,,1.176,0.882,0.968,0.822
2640-3,SL004637,MSP R,Macrophage-stimulating protein receptor,Q04912,Protein,Human,20%,1.61E-11,130,6.704,0.151,0.138,0.204,0.762,5.555,576,1192,2140,12.536,0.039,0.045,0.059,0.798,8.121,895,1254,1857,No binding was observed with Hepatocyte growth factor receptor.,,,,,MST1R,4486,ENSG00000164078,HGNC:7381,,,1.243,0.601,1.02,0.551
2642-4,SL004760,PAFAH beta subunit,Platelet-activating factor acetylhydrolase IB subunit beta,P68402,Protein,Human,20%,4.99E-11,76,16.837,0.045,0.031,0.055,0.853,10.098,1050,2720,5023,17.145,0.047,0.039,0.062,0.787,4.12,819,1137,2095,No binding was observed with Platelet-activating factor acetylhydrolase IB subunit gamma.,,,,,PAFAH1B2,5049,ENSG00000168092,HGNC:8575,,,1.193,0.915,0.833,0.908
2643-57,SL004183,P-Cadherin,Cadherin-3,P22223,Protein,Human,0.5%,2.49E-11,140,136.373,0.049,0.057,0.076,0.774,8.404,11841,18770,26587,265.321,0.044,0.04,0.06,0.895,13.377,23081,36038,49193,Under Investigation,,,,,CDH3,1001,ENSG00000062038,HGNC:1762,,,1.839,0.832,1.339,0.595
2644-11,SL000551,PKC-A,Protein kinase C alpha type,P17252,Protein,Human,20%,3.14E-11,97,197.142,0.02,0.019,0.027,0.969,51.664,8211,49436,82030,57.936,0.02,0.017,0.026,0.971,84.704,2235,3635,6891,Binding was observed with Protein kinase C gamma type with similar affinity.  Binding was observed with PKC-B-1 with at least 10x weaker affinity.  No binding was observed with PKC-E.,,,30072576,,PRKCA,5578,ENSG00000154229,HGNC:9393,,,1.034,0.936,0.768,0.92
2645-54,SL000557,PKC-Z,Protein kinase C zeta type,Q05513,Protein,Human,20%,3.81E-11,141,4.573,0.025,0.025,0.035,0.83,13.185,704,993,3743,11.386,0.029,0.023,0.037,0.912,47.735,947,1187,2380,Under Investigation,,,,,PRKCZ,5590,ENSG00000067606,HGNC:9412,,,1.224,0.7,0.833,0.671
